@relation RFKON_BT_Train

@attribute 00:1A:7D:DA:71:09 numeric
@attribute 00:1A:7D:DA:71:0C numeric
@attribute 00:1A:7D:DA:71:0A numeric
@attribute 00:1A:7D:DA:71:0E numeric
@attribute 00:1A:7D:DA:71:06 numeric
@attribute 00:1A:7D:DA:71:10 numeric
@attribute 00:1A:7D:DA:71:05 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-63,-74,100,-51,100,100,100,5
-62,100,100,100,-79,100,100,5
-66,100,100,-61,100,100,100,5
-62,100,100,-51,-80,100,100,5
-69,-72,100,-61,100,100,100,5
-67,-74,100,-53,100,100,100,5
100,-86,100,-51,100,100,100,5
-62,100,100,-60,100,100,100,5
100,-73,100,-55,100,100,100,5
-61,100,100,-52,100,100,100,5
100,100,100,-51,100,100,100,5
100,-73,100,100,100,100,100,5
100,-81,100,-60,100,100,100,5
-66,100,100,100,100,100,100,5
-61,-81,100,100,-84,100,100,5
-60,100,100,-59,100,100,100,5
-61,100,100,-56,100,100,100,5
100,100,100,-51,100,100,100,5
-63,-76,100,-50,-81,100,100,5
-62,100,100,100,-74,100,100,5
-65,100,100,-51,100,100,100,5
100,100,100,-52,100,100,100,5
100,-72,100,-55,100,100,100,5
-63,-76,-87,-59,100,100,100,5
100,100,100,-51,100,100,100,5
100,-85,100,-55,-77,100,100,5
-61,100,100,-56,100,100,100,5
100,100,100,-58,100,100,100,5
100,100,100,-60,100,100,100,5
-61,-80,100,100,100,100,100,5
-65,100,100,-50,100,100,100,5
-68,100,100,-51,100,100,100,5
-65,100,100,-56,100,100,100,5
-68,100,100,-60,100,100,100,5
-64,100,-81,-59,-86,100,100,5
-66,-76,100,-54,-72,100,100,5
-60,100,100,-57,-79,100,100,5
100,100,100,-55,100,100,100,5
-61,-81,100,-59,100,100,100,5
100,-75,100,100,-75,100,100,5
-60,100,100,100,100,100,100,5
100,100,100,-51,-76,100,100,5
-63,100,100,-59,100,100,100,5
100,-74,100,-61,-79,100,100,5
-68,-84,100,-61,100,100,100,12
-69,100,100,-54,100,100,100,12
100,-75,100,-60,-77,100,100,12
-67,100,100,-57,100,100,100,12
100,100,100,-55,100,100,100,12
-61,100,100,-57,100,100,100,12
-70,100,100,-57,100,100,100,12
-61,-72,100,100,100,100,100,12
-68,100,100,-55,100,100,100,12
100,100,100,-55,100,100,100,12
-69,-76,100,-59,-80,100,100,12
-83,-76,100,-60,100,100,100,12
-68,100,100,-66,100,100,100,12
-65,100,100,-58,-76,100,100,12
100,100,100,-55,-77,100,100,12
-70,100,100,-54,100,100,100,12
100,100,100,100,-77,100,100,12
-77,-77,100,100,100,100,100,12
100,-79,100,-64,100,100,100,12
100,100,100,-62,100,100,100,12
-64,100,100,-64,100,100,100,12
-68,100,100,-54,-75,100,100,12
-64,100,100,-59,-81,100,100,12
100,-78,100,-58,100,100,100,12
-67,100,100,-59,-73,100,100,12
-74,100,100,-57,100,100,100,12
-67,100,100,100,100,100,100,12
100,100,100,100,100,100,100,12
-66,100,100,-55,100,100,100,12
100,-75,100,-56,100,100,100,12
100,100,100,-60,-76,100,100,12
-64,100,100,100,100,100,100,12
-77,-73,100,-59,-78,100,100,12
-67,100,100,-67,100,100,100,12
-66,100,100,-62,100,100,100,12
100,100,100,100,-77,100,100,12
-71,100,100,100,100,100,100,12
100,100,100,-68,100,100,100,12
-65,100,100,-57,-84,100,100,12
100,100,100,-57,100,100,100,12
-65,-80,100,-59,100,100,100,12
-67,-75,100,-61,100,100,100,12
-75,100,100,-56,-78,100,100,12
-65,100,100,-65,-79,100,100,12
100,100,100,-55,100,100,100,12
100,-77,100,-58,100,100,100,12
100,100,100,-57,-77,100,100,12
-64,100,100,100,100,100,100,12
100,100,100,-62,-74,100,100,12
-64,100,100,-62,100,100,100,12
100,100,100,100,100,100,100,12
-68,100,100,-62,100,100,100,12
-68,100,100,100,100,100,100,12
100,100,100,100,-80,100,100,12
-63,100,100,-59,-77,100,100,12
-60,100,100,-59,-77,100,100,52
-57,100,100,-55,100,100,100,52
-61,-79,100,100,100,100,100,52
-57,-79,100,-60,-82,100,100,52
-57,-78,100,-57,100,100,100,52
-61,100,100,-52,-84,100,100,52
-54,-79,100,100,100,100,100,52
-55,100,100,-61,100,100,100,52
-53,100,100,-64,-81,100,100,52
-60,100,100,100,100,100,100,52
-53,100,100,100,100,100,100,52
-55,-85,100,-53,-80,100,100,52
-57,-81,100,-66,-81,100,100,52
-60,-79,-92,-66,100,100,100,52
-59,-79,100,-58,100,100,100,52
-64,-87,100,-61,-82,100,100,52
-71,100,100,-60,100,100,100,52
-53,100,100,-64,-82,100,100,52
-56,100,100,-57,-78,100,100,52
-61,100,100,-61,100,100,100,52
-53,100,100,-54,100,100,100,52
-54,100,100,-57,100,100,100,52
-51,100,100,-56,-81,100,100,52
-56,100,100,-58,100,100,100,52
-59,100,100,100,100,100,100,52
-58,-76,100,-59,100,100,100,52
-57,100,100,-55,100,100,100,52
-56,-76,100,100,-84,100,100,52
-51,100,100,-55,-78,100,100,52
-51,-85,100,-56,100,100,100,52
100,-74,100,-56,100,100,100,52
-55,100,100,-57,100,100,100,52
-53,100,100,-59,100,100,100,52
-54,100,100,-55,-80,100,100,52
-57,100,100,-57,100,100,100,52
-58,-75,100,-63,100,100,100,52
-52,-75,100,-58,-83,100,100,52
-52,100,100,-57,-76,100,100,52
-57,100,100,-59,100,100,100,52
-52,100,100,-58,100,100,100,52
-58,100,100,-65,100,100,100,52
-52,100,100,-63,-79,100,100,52
-51,100,100,-55,-70,100,100,52
-58,100,100,-57,100,100,100,52
-51,100,100,-59,100,100,100,52
-56,100,100,-59,-82,100,100,52
-57,100,100,-65,100,100,100,52
-56,-78,100,-71,-86,100,100,52
-52,-85,100,-62,100,100,100,52
-52,-78,100,-58,-88,100,100,52
100,-81,100,-59,100,100,100,52
-64,-75,100,-61,-73,100,100,52
-55,-78,100,-61,100,100,100,52
-52,-77,100,100,100,100,100,52
-58,100,100,-62,100,100,100,52
-60,-82,100,-63,100,100,100,6
-72,-85,100,100,-71,100,100,6
-64,100,100,-61,-75,100,100,6
-59,-86,100,-52,-83,100,100,6
100,-80,100,-59,100,100,100,6
-59,100,100,-63,100,100,100,6
-61,-84,100,-60,-73,100,100,6
-73,100,100,100,-84,100,100,6
-58,100,100,-58,-76,100,100,6
-56,100,100,-54,-70,100,100,6
100,100,100,100,100,100,100,6
-58,-79,100,-55,-74,100,100,6
-63,-92,100,100,-76,100,100,6
100,-88,100,-62,-72,100,100,6
-58,100,100,-60,100,100,100,6
100,100,100,-59,100,100,100,6
-61,-73,100,-55,-73,100,100,6
100,-77,100,100,-74,100,100,6
-79,100,100,-56,-74,100,100,6
-61,100,100,-53,-74,100,100,6
100,100,100,-62,100,100,100,6
-59,100,100,-58,-81,100,100,6
-69,-74,100,-60,-71,100,100,6
-59,100,100,100,-70,100,100,6
-68,100,100,100,100,100,100,6
-62,100,100,-59,100,100,100,6
100,-88,100,-56,100,100,100,6
100,-72,100,-63,100,100,100,6
-57,100,100,100,-70,100,100,6
-59,-77,100,-57,100,100,100,6
-64,-85,100,100,-82,100,100,6
100,100,100,-55,100,100,100,6
-65,100,100,-59,-76,100,100,6
100,100,100,100,100,100,100,6
-61,100,100,-60,100,100,100,6
-62,100,100,-56,100,100,100,6
-59,100,100,-54,100,100,100,6
-60,100,100,-60,-80,100,100,6
-58,-77,100,-59,100,100,100,6
100,-87,100,100,-79,100,100,6
-70,-81,100,-59,-78,100,100,6
100,-76,100,-59,100,100,100,6
100,100,100,-52,100,100,100,6
-62,100,100,-59,-70,100,100,6
-71,-84,100,-61,-79,100,100,6
-61,-79,100,-61,100,100,100,6
100,100,100,100,100,100,100,6
-64,100,100,-61,100,100,100,6
100,-83,100,-59,100,100,100,6
-60,100,100,100,-71,100,100,6
100,100,100,100,100,100,100,6
-62,100,100,-58,100,100,100,6
-58,100,100,100,100,100,100,6
100,-80,100,-56,100,100,100,6
-71,100,100,-60,100,100,100,6
-61,-71,100,-58,100,100,100,53
-59,-85,100,-67,100,100,100,53
-59,-79,100,100,-75,100,100,53
100,100,100,-77,100,100,100,53
-75,-72,100,-69,100,100,100,53
100,-80,100,100,-80,100,100,53
-61,-78,100,-65,-80,100,100,53
-63,100,100,-62,100,100,100,53
100,100,100,-74,-87,100,100,53
-65,-81,100,-62,-80,100,100,53
-64,-78,100,-63,-76,100,100,53
100,-77,100,-59,100,100,100,53
-59,100,100,100,100,100,100,53
100,100,100,-64,-74,100,100,53
-58,100,100,-73,100,100,100,53
-68,-79,100,-59,-83,100,100,53
-64,-75,100,-73,100,100,100,53
-63,100,100,-74,-74,100,100,53
-58,100,100,-60,-85,100,100,53
-59,100,100,-66,100,100,100,53
-61,100,100,100,100,100,100,53
-59,100,100,-68,100,100,100,53
100,-79,100,-57,-78,100,100,53
-60,100,100,-74,100,100,100,53
100,-76,100,100,-78,100,100,53
-72,100,100,100,100,100,100,53
-59,100,100,-61,100,100,100,53
-67,-78,100,-57,-77,100,100,53
-65,100,100,100,100,100,100,53
-61,100,100,-61,100,100,100,53
-61,-82,100,-67,100,-90,100,53
-63,-77,100,-60,100,100,100,53
-61,-79,100,-61,100,100,100,53
-62,100,100,-59,100,100,100,53
-66,100,100,-66,100,100,100,53
-66,-82,100,-57,-75,100,100,53
-66,100,100,-57,100,100,100,53
-65,100,100,-62,100,100,100,53
-63,-83,100,-61,100,100,100,53
-65,100,100,100,-82,100,100,53
-60,100,100,-66,100,100,100,53
-68,100,100,100,-83,100,100,53
-65,100,100,-67,100,100,100,53
100,100,100,-62,100,100,100,53
-68,-76,100,-59,100,100,100,53
-60,-77,100,100,100,100,100,53
-59,-77,100,100,100,100,100,53
-63,100,100,100,-75,100,100,53
-60,-86,100,-69,100,100,100,53
-72,-86,100,-66,100,100,100,53
-58,-80,100,-64,-73,100,100,53
-56,-77,100,-64,-82,100,100,53
-59,-76,100,-62,-83,100,100,53
100,-80,100,-61,100,100,100,53
-65,-77,100,-64,100,100,100,53
-56,100,100,-54,100,100,100,1
-58,-90,100,-56,100,100,100,1
100,100,100,-60,100,100,100,1
100,-79,-86,-62,-79,100,100,1
-50,100,100,-55,100,100,100,1
-51,100,100,-62,100,100,100,1
-51,-88,100,-62,100,100,100,1
100,100,100,-58,100,100,100,1
100,-80,-90,-62,100,100,100,1
-52,100,100,100,-82,-96,100,1
-57,-78,-92,-56,-79,100,100,1
-51,-86,100,-57,-84,100,100,1
-50,-76,100,-58,100,100,100,1
-51,-90,100,-62,100,100,100,1
-52,-92,-90,100,100,100,100,1
-50,-86,100,100,100,100,100,1
-52,-83,100,-57,-92,100,100,1
-57,100,100,-68,100,100,100,1
-54,100,100,-61,100,100,100,1
-55,100,100,-56,-73,100,100,1
-52,100,100,-70,100,100,100,1
-58,100,100,-59,100,100,100,1
-53,100,100,-62,100,100,100,1
-57,100,100,-58,100,-91,100,1
-51,100,100,-62,100,100,100,1
-53,-80,100,-63,100,100,100,1
-53,100,100,-55,-80,100,100,1
-51,100,100,-58,100,100,100,1
-51,100,100,100,-80,100,100,1
-53,100,100,-69,-77,100,100,1
-54,100,100,-63,100,100,100,1
-53,-81,100,-62,100,100,100,1
-58,100,100,-63,-81,100,100,1
-54,100,100,-64,100,100,100,1
-57,-75,100,-59,100,100,100,1
-53,100,100,-67,100,100,100,1
100,100,100,100,100,100,100,1
-53,100,100,-55,100,100,100,1
-52,-84,100,100,100,100,100,1
-50,100,100,-60,100,100,100,1
-53,-87,-86,-55,100,100,100,1
-52,100,100,-58,100,100,100,1
-53,100,100,-57,100,100,100,1
-54,-78,100,100,100,100,100,1
100,-82,100,100,100,100,100,1
100,100,100,100,100,100,100,1
-54,-80,100,-56,-77,100,100,1
-51,-74,100,-59,100,100,100,1
-53,100,100,-60,100,100,100,1
-50,100,100,-56,100,100,100,1
-54,100,100,-55,-78,100,100,1
-52,100,100,100,100,100,100,1
100,-79,100,-55,-77,100,100,1
-53,100,100,-59,100,100,100,1
-52,100,100,-67,100,100,100,1
-50,100,100,100,100,100,100,7
-51,-74,100,-80,-74,100,100,7
-50,100,100,100,100,100,100,7
-50,-72,100,-68,100,100,100,7
-50,100,100,-69,100,100,100,7
-50,100,100,-59,100,100,100,7
-52,-73,100,-64,100,100,100,7
-52,100,100,-58,100,100,100,7
-50,-72,100,-78,100,100,100,7
-50,100,100,-59,100,100,100,7
-53,100,100,-74,100,100,100,7
-49,100,100,-63,100,100,100,7
-51,100,100,-59,100,100,100,7
-52,-81,100,-72,100,100,100,7
-50,-73,100,-79,100,100,100,7
-50,-74,100,-74,100,100,100,7
-53,-73,100,100,100,100,100,7
-52,100,100,-63,100,100,100,7
-50,-79,100,-60,-71,100,100,7
100,100,100,100,100,100,100,7
-50,100,100,100,100,100,100,7
-51,100,100,-69,100,100,100,7
-50,100,100,-58,-70,100,100,7
-57,100,100,-76,-80,100,100,7
-52,-76,100,-59,100,100,100,7
100,-78,100,-58,100,100,100,7
-50,-84,100,-61,-78,100,100,7
-53,100,100,-71,-73,100,100,7
-52,100,100,-75,100,100,100,7
-53,100,100,-58,100,100,100,7
-54,100,100,100,100,100,100,7
-55,100,100,-77,100,100,100,7
-51,100,100,100,-69,100,100,7
-50,100,100,100,100,100,100,7
-50,100,100,100,100,100,100,7
100,100,100,-59,100,100,100,7
-52,100,100,-58,100,100,100,7
-51,-77,100,100,100,100,100,7
100,100,100,-68,-69,100,100,7
-51,100,100,-59,100,100,100,7
-53,100,100,-68,-71,100,100,7
100,-74,100,-79,100,100,100,7
-53,-83,100,-61,-80,100,100,7
-51,-91,100,-73,-69,100,100,7
-51,-73,100,-57,100,100,100,7
-50,-87,100,100,100,100,100,7
-50,100,100,-58,100,100,100,7
-50,100,100,-57,100,100,100,7
100,100,100,100,-68,100,100,7
-50,100,100,100,-81,100,100,7
-55,-73,100,-62,-83,100,100,7
-50,-86,100,-57,100,100,100,7
100,100,100,-68,100,100,100,7
-50,100,100,100,100,100,100,7
-50,100,100,100,100,100,100,7
-66,-77,100,-54,100,100,100,11
-58,100,100,-64,100,100,100,11
-58,-81,100,-55,100,100,100,11
100,-80,100,100,-75,100,100,11
-61,100,100,-55,100,100,100,11
-58,-77,100,-55,-75,100,100,11
-59,100,100,-60,-84,100,100,11
-60,-78,-90,-69,100,100,100,11
-66,-82,100,-55,100,100,100,11
-67,-75,100,100,-84,100,100,11
-57,100,100,-66,100,100,100,11
-63,100,-85,-60,-81,100,100,11
-62,-81,100,-58,100,100,100,11
100,-78,100,-55,100,100,100,11
-58,-77,100,-60,-75,100,100,11
-62,-73,100,-62,100,100,100,11
-62,-80,100,-64,-74,100,100,11
100,-74,100,-58,100,100,100,11
-59,100,100,-57,-88,100,100,11
-72,-72,100,-54,100,100,100,11
-60,-79,100,100,100,100,100,11
-63,-74,100,100,-83,100,100,11
100,100,100,-61,100,100,100,11
100,-75,100,-55,100,100,100,11
100,-85,100,-65,-78,100,100,11
-62,-79,100,100,-80,100,100,11
-65,100,100,-67,100,100,100,11
-59,100,100,-55,100,100,100,11
-60,100,100,-69,100,100,100,11
-69,100,100,100,100,100,100,11
-66,-72,100,-67,100,100,100,11
-60,100,100,-55,100,100,100,11
-58,-76,100,-62,100,100,100,11
-66,-76,100,-69,100,100,100,11
100,-84,100,-60,100,100,100,11
-58,-74,100,-65,-79,100,100,11
-61,-80,100,-59,100,100,100,11
100,100,100,-59,-76,100,100,11
-71,-74,-94,-54,-81,100,100,11
-62,-79,100,-60,100,100,100,11
100,100,100,-55,100,100,100,11
-67,100,100,-60,-75,100,100,11
-66,-74,100,100,100,100,100,11
-61,100,100,-55,100,100,100,11
-72,-75,-85,-68,-94,100,100,11
-58,-77,100,-59,100,100,100,11
-63,100,100,-54,100,100,100,11
-59,-79,100,-56,-73,100,100,11
-60,-74,100,-66,-81,100,100,11
100,100,100,-58,100,100,100,11
-58,100,100,-65,100,100,100,11
100,-86,100,-65,100,100,100,11
-67,-78,100,-62,100,100,100,11
-57,-78,100,-64,-88,100,100,11
100,100,100,-62,-82,100,100,11
100,100,100,-63,100,100,100,51
-63,-83,100,-59,100,100,100,51
-65,100,100,-59,-77,100,100,51
-63,100,100,100,-78,100,100,51
-64,100,100,-59,100,100,100,51
-62,100,100,-60,100,100,100,51
100,-77,100,100,-80,100,100,51
-61,100,100,-60,100,100,100,51
-61,100,100,100,100,100,100,51
-62,-93,-92,-61,-79,100,100,51
-61,100,100,-59,100,100,100,51
-65,-80,100,-60,100,100,100,51
100,100,100,-58,100,100,100,51
-61,100,100,-57,100,100,100,51
-61,100,100,-59,-79,100,100,51
100,100,100,-62,-78,100,100,51
100,100,100,100,100,100,100,51
-66,100,100,100,100,100,100,51
-61,-80,100,-63,100,100,100,51
-61,100,100,-58,100,100,100,51
-66,100,100,-59,100,100,100,51
100,100,100,-60,100,100,100,51
-62,100,100,100,100,100,100,51
-59,-80,100,-63,100,100,100,51
-61,-82,100,-59,-84,100,100,51
-61,100,100,-59,100,100,100,51
-60,100,100,-57,100,100,100,51
-62,-86,100,-57,100,100,100,51
100,100,100,-59,100,100,100,51
-59,100,100,-59,100,100,100,51
100,100,100,-59,100,100,100,51
-60,100,100,-57,100,100,100,51
-62,-79,100,-62,100,100,100,51
-61,100,100,-61,-78,100,100,51
100,100,100,-59,100,100,100,51
-59,100,100,-65,100,100,100,51
-65,100,100,-59,100,100,100,51
-63,100,100,-66,100,100,100,51
-65,100,100,-59,100,100,100,51
100,100,100,-66,100,100,100,51
-67,-79,100,-59,100,100,100,51
-64,100,100,-59,100,100,100,51
-61,100,100,-60,100,100,100,51
-62,100,100,100,100,100,100,51
100,100,100,-59,100,100,100,51
-64,-81,100,-64,100,100,100,51
-66,100,100,100,100,100,100,51
100,-80,100,-59,100,100,100,51
-60,100,100,-63,100,100,100,51
-59,100,100,-62,100,100,100,51
-63,-80,100,-57,100,100,100,51
-59,100,100,100,100,100,100,51
100,100,100,100,100,100,100,51
-65,-78,100,100,100,100,100,51
-58,100,100,-59,100,100,100,51
-57,100,100,-59,100,100,100,8
-57,100,100,-55,-82,100,100,8
-57,100,100,-55,-87,100,100,8
100,100,100,-65,100,100,100,8
-55,100,100,-59,-79,100,100,8
-51,100,100,-66,-72,100,100,8
-64,100,100,-55,-78,100,100,8
-52,100,100,-58,100,100,100,8
-67,100,100,-55,100,100,100,8
-56,100,100,-55,100,100,100,8
-58,100,100,100,100,100,100,8
-52,100,100,-55,-73,100,100,8
-57,-84,100,-64,100,100,100,8
-73,-77,100,-60,100,100,100,8
-51,100,100,-65,100,100,100,8
-63,-81,100,-55,100,100,100,8
-57,-91,100,-55,100,100,100,8
-56,100,100,-59,-84,100,100,8
-61,-81,100,-55,100,100,100,8
